epoch,train_loss,train_acc,val_loss,val_acc,best_val_acc,epoch_time_sec,elapsed_time_sec
1,2.006758094363742,0.3202,1.4187014791488648,0.4916,0.4916,12.1414420480005,12.141582240999924
2,1.3421674743228489,0.5113333333333333,1.065960256099701,0.6212,0.6212,11.81154719299957,24.027992422999887
3,1.089912555609809,0.6149777777777777,0.9984902260780334,0.6588,0.6588,11.594033950000266,35.70442322999952
4,0.9410340113745795,0.6662,0.7553862769126892,0.729,0.729,12.213170916999843,47.99014881199946
5,0.8383024997075399,0.7098666666666666,0.7207765939712525,0.7472,0.7472,12.258714636999684,60.338108723000005
6,0.766129981634352,0.7379333333333333,0.8654821767807007,0.7162,0.7472,12.257926539999971,72.6786266299996
7,0.6981035094473097,0.7618666666666667,0.7261825366020203,0.75,0.75,12.109114807999504,84.83127260899983
8,0.648901224761539,0.7815111111111112,0.5824321786880493,0.7902,0.7902,12.25717015600003,97.18487955899946
9,0.608485512442059,0.7956444444444445,0.505652742099762,0.8206,0.8206,11.812190263999582,109.08617962099925
10,0.570499169031779,0.8080888888888889,0.492317538356781,0.8316,0.8316,11.980653392000022,121.15483464299996
11,0.529239744287067,0.8236444444444444,0.608547946023941,0.803,0.8316,12.13056811200022,133.3717159609996
12,0.4929294230884976,0.8353111111111111,0.44987346415519713,0.8446,0.8446,11.66594236200035,145.08095908999985
13,0.4612702977286445,0.8462222222222222,0.43308245620727537,0.8534,0.8534,12.327854766999735,157.4985233339994
14,0.44268111590809295,0.8530888888888889,0.4445406707286835,0.8512,0.8534,12.117486348000057,169.69886988599956
15,0.4095447533819411,0.8634222222222222,0.43829958782196043,0.8516,0.8534,12.104655428000115,181.8490821919995
16,0.39214870102670457,0.8696,0.3898982582569122,0.8706,0.8706,11.841808971000319,193.73175553099918
17,0.3738598444090949,0.8753555555555556,0.4106721117734909,0.8612,0.8706,11.678216481000163,205.48800240399942
18,0.3494091157277425,0.8849111111111111,0.4238514735221863,0.8628,0.8706,11.88971591200061,217.4177564269994
19,0.3306644705136617,0.8906,0.3750974627494812,0.8744,0.8744,11.773803604000022,229.2387984979996
20,0.3153373992813958,0.8950444444444444,0.3579560266017914,0.8776,0.8776,11.98257105399989,241.2974829249997
21,0.2913094583193461,0.9036444444444445,0.3475457326412201,0.882,0.882,12.11849655900005,253.50355898399994
22,0.2792753723025322,0.9069777777777778,0.3491330153942108,0.8836,0.8836,12.009448394999708,265.59777357799976
23,0.26037952503363293,0.9136222222222222,0.37362835836410524,0.8808,0.8836,11.627082011000311,277.3065121749996
24,0.24529101889133453,0.9188666666666667,0.38542031507492064,0.8784,0.8836,12.113865317999625,289.4614543109992
25,0.23230636605421703,0.9237111111111111,0.3518797891616821,0.8926,0.8926,12.208016019999377,301.7136610309999
26,0.21785134739345974,0.9281333333333334,0.32164547967910767,0.8996,0.8996,11.630594549999842,313.4311054529999
27,0.20263622254265679,0.9330222222222222,0.3251365354537964,0.9012,0.9012,12.484250159000112,326.00285684999926
28,0.18695108847088285,0.9369555555555555,0.3398724989891052,0.897,0.9012,12.08038737700008,338.1636455779999
29,0.1835590710904863,0.9383111111111111,0.32559737129211425,0.9082,0.9082,11.878179393999744,350.0932439419994
30,0.16673935928477182,0.9427333333333333,0.3313367965221405,0.9018,0.9082,12.12396531200011,362.3081610720001
31,0.15213630151748658,0.9480222222222222,0.344418826675415,0.9028,0.9082,12.349056166000082,374.7038747379993
32,0.14203346874184078,0.9520222222222222,0.3431206841468811,0.901,0.9082,12.298767166999824,387.04622162799933
33,0.12978058282269372,0.9563111111111111,0.3153138963222504,0.909,0.909,12.037008405999586,399.1237279959996
34,0.1320846957564354,0.9558888888888889,0.3222114207267761,0.9108,0.9108,12.070953360999738,411.2731175629997
35,0.12040682634645038,0.9597777777777777,0.3240879083633423,0.9046,0.9108,11.788790423000137,423.14374530699934
36,0.1119446642531289,0.9628444444444444,0.3335850255966187,0.9118,0.9118,12.198861331000444,435.3925541939998
37,0.1050626891348097,0.9644444444444444,0.3276535474777222,0.9106,0.9118,12.283099620999565,447.7781983089999
38,0.09613822698659368,0.9676888888888889,0.3345596098899841,0.9104,0.9118,11.917646264999348,459.753937939
39,0.0910682846546173,0.9692666666666667,0.3297414673805237,0.9114,0.9118,11.579957867999838,471.3875160079997
40,0.08775891488922967,0.9689777777777778,0.33540322241783144,0.9124,0.9124,11.992234634999477,483.4226668649999
41,0.08249183036949899,0.9727777777777777,0.33685776700973513,0.9122,0.9124,11.917583386000842,495.4214211889994
42,0.07748576427764363,0.9742222222222222,0.3387948088645935,0.9146,0.9146,12.256336733999888,507.7398028259995
43,0.07519284075895945,0.9748888888888889,0.3381812390327454,0.9152,0.9152,12.150722947000759,519.9949491809994
44,0.07263469203048283,0.9753333333333334,0.33728261165618895,0.9138,0.9152,12.467187802999433,532.54569696
45,0.07191196210119459,0.9756222222222222,0.34024957580566406,0.9148,0.9152,11.873078578999412,544.4641075169993
46,0.0668136352300644,0.9770444444444445,0.34560604286193847,0.9158,0.9158,12.117803946000095,556.6233415159995
47,0.06542413162092368,0.9782,0.3446525911808014,0.9162,0.9162,12.023384291000184,568.7289374769998
48,0.06754632013572587,0.9764888888888889,0.3415632070541382,0.9168,0.9168,11.968869377999908,580.7909498989993
49,0.06582996071908209,0.9774444444444444,0.3425368200302124,0.9178,0.9178,11.902872958999978,592.7775701609999
50,0.06357857936090894,0.9791555555555556,0.34102638759613035,0.9166,0.9178,12.22985923000033,605.0954883619997
