epoch,train_loss,train_acc,val_loss,val_acc,best_val_acc,epoch_time_sec,elapsed_time_sec
1,1.78370318007999,0.3677111111111111,1.2664654640197754,0.5232,0.5232,10.06857614600085,10.068724172000657
2,1.1485547030131023,0.5933333333333334,0.9819333975791931,0.6498,0.6498,9.818132719999994,20.03772216700054
3,0.9038135027249654,0.6884444444444444,1.0532041156768799,0.653,0.653,9.787408648000564,29.9554093429997
4,0.7706327334721883,0.7388,0.7114057991981506,0.7646,0.7646,9.813019912000527,39.89932326100097
5,0.681337540769577,0.7723111111111111,0.6241100358486176,0.7874,0.7874,9.80689605599946,49.8354882069998
6,0.6094642099592421,0.7955555555555556,0.5390243848800659,0.8172,0.8172,9.532800994000354,59.49987820699971
7,0.553424872493744,0.8148222222222222,0.6304018781661987,0.7956,0.8172,9.728315103999194,69.35539682099989
8,0.5058872886869642,0.8321111111111111,0.5012090161323547,0.8308,0.8308,9.84795727600067,79.27033315399967
9,0.4732758134841919,0.8423111111111111,0.45738025541305544,0.8466,0.8466,9.839141345999451,89.24110593700061
10,0.43052757518556384,0.857,0.4372981402397156,0.8474,0.8474,9.788797856999736,99.16013429600025
11,0.40331576120058693,0.8662222222222222,0.5362268491268158,0.8254,0.8474,9.788811832000647,109.08093096300036
12,0.37360538709428576,0.8755555555555555,0.4993766484260559,0.8458,0.8474,9.802404283000214,118.9509231560005
13,0.35206623249053953,0.884,0.4013885476350784,0.8688,0.8688,9.762535138999738,128.7766786989996
14,0.3230007542080349,0.8922,0.3954175586223602,0.8762,0.8762,9.702580048000527,138.6118845990004
15,0.3073296684053209,0.8973333333333333,0.37068204107284547,0.8848,0.8848,9.726601598000343,148.46616525399986
16,0.28576944930818343,0.9046222222222222,0.33003073534965516,0.8936,0.8936,9.655597259001297,158.25492922900048
17,0.26603998857604133,0.9120222222222222,0.399286417388916,0.8744,0.8936,9.771324235000066,168.1586288310009
18,0.2475391872406006,0.9169333333333334,0.33696802480220794,0.8884,0.8936,9.853320492999046,178.0776134910011
19,0.22719050489531623,0.9232888888888889,0.3694746085524559,0.8824,0.8936,9.748305933000665,187.89276661199983
20,0.21599773586591084,0.9271333333333334,0.36102693967819216,0.8914,0.8936,9.782300183000189,197.74063820599986
21,0.19581941011216905,0.9351111111111111,0.35993621600866316,0.9,0.9,9.801442383999529,207.60967573800008
22,0.18648353107770285,0.9373111111111111,0.3449235863685608,0.8986,0.9,9.799965465999776,217.5451306289997
23,0.1726359628121058,0.9417555555555556,0.3623943160533905,0.893,0.9,9.714264337999339,227.32792443000108
24,0.15561316261291505,0.9473555555555555,0.34216164536476135,0.9,0.9,9.763850613000614,237.16085039800055
25,0.1479973268614875,0.9502222222222222,0.350936105632782,0.9038,0.9038,9.681660870000997,246.91258586300137
26,0.13606715276903578,0.9535111111111111,0.34324920101165773,0.9056,0.9056,9.65073884999947,256.697014491001
27,0.12118231347931756,0.9594888888888888,0.32624211440086365,0.9062,0.9062,9.744653682000717,266.5752734590005
28,0.11300034663544761,0.9628666666666666,0.3577052117586136,0.9108,0.9108,9.928805220999493,276.63692424500005
29,0.10240650174220403,0.965,0.35328891787528993,0.9078,0.9108,9.657486480999069,286.4422181930004
30,0.09465446028974321,0.9680444444444445,0.3698853713750839,0.908,0.9108,9.792034456000692,296.2997551690005
31,0.0885289827240838,0.9703333333333334,0.342288218164444,0.9124,0.9124,9.806451645999914,306.173969726
32,0.07792905847496456,0.9736666666666667,0.35319491248130797,0.9122,0.9124,9.825601926999298,316.13260209800137
33,0.06850588543415069,0.977,0.3662262782096863,0.9098,0.9124,9.73510108499977,325.93982572500136
34,0.06489955664343304,0.9776444444444444,0.38546922640800474,0.9096,0.9124,9.565720591999707,335.5702904339996
35,0.059842295123471154,0.9796,0.3887860203623772,0.9146,0.9146,9.89890053199997,345.5395194009998
36,0.05134647094441785,0.9826222222222222,0.42334263758659363,0.9098,0.9146,10.01606601200001,355.70128323300014
37,0.04731444496313731,0.9834222222222222,0.40497064380645753,0.9152,0.9152,9.856666018000396,365.6268301270011
38,0.044694356587198045,0.9848888888888889,0.4033143825650215,0.9198,0.9198,9.928411365999636,375.69419193700014
39,0.039266118248303734,0.9865777777777778,0.4038933807015419,0.9158,0.9198,9.90970620600092,385.7453215020014
40,0.037388314671234955,0.9869111111111111,0.41129339256286623,0.9164,0.9198,9.9061097470003,395.72019772100066
41,0.03382142001096573,0.9887555555555556,0.42111684455871584,0.9192,0.9198,9.782458652998685,405.5709752740004
42,0.03255008312049839,0.9894444444444445,0.41947705302238464,0.9174,0.9198,9.768410595001114,415.41087507500015
43,0.028107839702318112,0.9904444444444445,0.42798962116241457,0.9184,0.9198,9.745234903000892,425.22214940400045
44,0.027360880635844336,0.9911555555555556,0.4370311078310013,0.9194,0.9198,9.668592564999926,434.95886295200035
45,0.02500736134747664,0.9915333333333334,0.4367782798051834,0.9174,0.9198,9.83057362999898,444.85485407800115
46,0.024087753933254217,0.9923555555555555,0.4429263298511505,0.918,0.9198,9.868392308999319,454.79255613500027
47,0.022897411298586263,0.9921111111111112,0.4437275600194931,0.9188,0.9198,9.694114891999561,464.55873675099974
48,0.020279749347631715,0.993,0.4509802934646606,0.9198,0.9198,9.782982148000883,474.4144752330012
