epoch,train_loss,train_acc,val_loss,val_acc
1,1.5900171040005153,0.3993111111111111,1.3265363128662109,0.5104
2,1.0910479391521877,0.6094888888888889,1.0072577871322632,0.6442
3,0.8945570420689053,0.6844444444444444,0.9413752862930298,0.6806
4,0.7668531081623501,0.7333555555555555,0.803608736038208,0.7322
5,0.6822412920422024,0.7637777777777778,0.6806016752243041,0.761
6,0.610398901187049,0.7904666666666667,0.6299433525085449,0.7894
7,0.561684847884708,0.8069111111111111,0.6574778633117676,0.7876
8,0.5206186289363437,0.8226888888888889,0.5413412606239318,0.8186
9,0.48810986693170333,0.8337555555555556,0.538483545589447,0.817
10,0.4488827449427711,0.8467777777777777,0.5218922040939331,0.8298
11,0.4181844954384698,0.8563333333333333,0.5529491058349609,0.8178
12,0.39873852507273355,0.8651333333333333,0.4874564973831177,0.8402
13,0.37531585204866197,0.8714444444444445,0.47713419494628906,0.8434
14,0.34560389762984384,0.8834222222222222,0.4805308271408081,0.8434
15,0.33081138027509055,0.8879111111111111,0.457137801361084,0.8514
16,0.30923225367334156,0.8936444444444445,0.42101614770889284,0.8622
17,0.2903960319413079,0.8998444444444444,0.43256411600112915,0.857
18,0.2781907605701023,0.9054444444444445,0.4839464468002319,0.8502
19,0.2626783077451918,0.9112666666666667,0.42382605237960813,0.8698
20,0.24328313500616286,0.9173111111111111,0.43008232440948485,0.8692
21,0.23462010564804078,0.9191777777777778,0.42298017263412474,0.8654
22,0.2177425844669342,0.9247777777777778,0.37897963781356814,0.8866
23,0.20778318409919738,0.9288222222222222,0.3788361927986145,0.8878
24,0.2029910210079617,0.9309777777777778,0.4287538684844971,0.8756
25,0.18785170198546516,0.9358222222222222,0.3869180242538452,0.8812
26,0.17596605326864453,0.9376444444444444,0.41008062734603884,0.8778
27,0.17327734818988377,0.9413111111111111,0.39518627729415895,0.8786
28,0.15904018276532492,0.9453555555555555,0.3950138722896576,0.8824
29,0.15933911708990733,0.9457111111111111,0.38451432614326475,0.8816
30,0.14598274466196695,0.9518,0.4260947277069092,0.877
31,0.1391323871281412,0.9527777777777777,0.40714703073501585,0.8924
32,0.12900825363794963,0.9551111111111111,0.40805447454452515,0.883
33,0.1253941762023502,0.9568,0.3941356750488281,0.8848
34,0.12243045429653591,0.9580888888888889,0.44835114431381223,0.8786
35,0.1161648709403144,0.9607333333333333,0.46179010467529297,0.8826
36,0.11505143081876967,0.9606666666666667,0.44993303184509276,0.8828
37,0.10839222422705756,0.9628222222222222,0.42949254512786866,0.8846
38,0.10323220659891764,0.9650444444444445,0.4024074789047241,0.892
39,0.09696074630816777,0.9674444444444444,0.45626633911132813,0.886
40,0.09364798031515545,0.9688222222222223,0.43080620737075803,0.887
41,0.09065180192391077,0.9682222222222222,0.5060619626045227,0.8822
42,0.09035239101118511,0.9684666666666667,0.4422594507217407,0.8902
43,0.09136479494836595,0.9683111111111111,0.47545148525238035,0.8786
44,0.07993236623075273,0.9723777777777778,0.4479303653717041,0.89
45,0.08203123440212673,0.9715777777777778,0.4483109299659729,0.8846
46,0.0738837818370925,0.9736444444444444,0.45344363088607786,0.89
47,0.08023222139941322,0.9717333333333333,0.46124364414215085,0.8906
48,0.07361319113903575,0.9746444444444444,0.5246424022674561,0.8738
49,0.07234921969572702,0.9756,0.4644451416969299,0.8904
50,0.06983113112582101,0.9753333333333334,0.4588996092796326,0.8922
