epoch,train_loss,train_acc,val_loss,val_acc,best_val_acc,epoch_time_sec,elapsed_time_sec
1,1.78370318007999,0.3677111111111111,1.2664654640197754,0.5232,0.5232,13.727419284999996,13.727536864000058
2,1.1485547030131023,0.5933333333333334,0.9819333975791931,0.6498,0.6498,13.842624673000046,27.696141992000094
3,0.9038135027249654,0.6884444444444444,1.0532041156768799,0.653,0.653,13.992356899000015,41.82341962700002
4,0.7706327334721883,0.7388,0.7114057991981506,0.7646,0.7646,13.655435284000077,55.60352537400013
5,0.681337540769577,0.7723111111111111,0.6241100358486176,0.7874,0.7874,13.686373959000093,69.41615505300001
6,0.6094642099592421,0.7955555555555556,0.5390243848800659,0.8172,0.8172,13.942910786000084,83.50024034800003
7,0.553424872493744,0.8148222222222222,0.6304018781661987,0.7956,0.8172,13.687986995999836,97.31563618500013
8,0.5058872886869642,0.8321111111111111,0.5012090161323547,0.8308,0.8308,13.863637802000085,111.25252614800002
9,0.4732758134841919,0.8423111111111111,0.45738025541305544,0.8466,0.8466,13.422759642000074,124.80180776600014
10,0.43052757518556384,0.857,0.4372981402397156,0.8474,0.8474,13.805526514000121,138.749568253
11,0.40331576120058693,0.8662222222222222,0.5362268491268158,0.8254,0.8474,14.119321790999948,153.00893360999999
12,0.37360538709428576,0.8755555555555555,0.4993766484260559,0.8458,0.8474,13.820190010000033,166.90727877100016
13,0.35206623249053953,0.884,0.4013885476350784,0.8688,0.8688,13.455401145999986,180.43293922800012
14,0.3230007542080349,0.8922,0.3954175586223602,0.8762,0.8762,13.534259905999988,194.11557343200002
15,0.3073296684053209,0.8973333333333333,0.37068204107284547,0.8848,0.8848,13.87281084999995,208.11544144599998
16,0.28576944930818343,0.9046222222222222,0.33003073534965516,0.8936,0.8936,13.735324313000092,221.98904962000006
17,0.26603998857604133,0.9120222222222222,0.399286417388916,0.8744,0.8936,13.425039371999901,235.55043263100015
18,0.2475391872406006,0.9169333333333334,0.33696802480220794,0.8884,0.8936,13.559775046999903,249.18019391999997
19,0.22719050489531623,0.9232888888888889,0.3694746085524559,0.8824,0.8936,13.497920592000128,262.75441768200017
20,0.21599773586591084,0.9271333333333334,0.36102693967819216,0.8914,0.8936,13.896285914999908,276.715868948
21,0.19581941011216905,0.9351111111111111,0.35993621600866316,0.9,0.9,13.73967406199995,290.52614978400015
22,0.18648353107770285,0.9373111111111111,0.3449235863685608,0.8986,0.9,13.971170691999987,304.6315578430001
23,0.1726359628121058,0.9417555555555556,0.3623943160533905,0.893,0.9,13.485072767999782,318.18670607600006
24,0.15561316261291505,0.9473555555555555,0.34216164536476135,0.9,0.9,13.727594124999996,331.98738681400005
25,0.1479973268614875,0.9502222222222222,0.350936105632782,0.9038,0.9038,13.836944184999993,345.8955824960001
26,0.13606715276903578,0.9535111111111111,0.34324920101165773,0.9056,0.9056,14.033035572000017,360.06262735400014
27,0.12118231347931756,0.9594888888888888,0.32624211440086365,0.9062,0.9062,13.89227704699988,374.092857246
28,0.11300034663544761,0.9628666666666666,0.3577052117586136,0.9108,0.9108,13.746393721999993,387.989592849
29,0.10240650174220403,0.965,0.35328891787528993,0.9078,0.9108,13.37364149300015,401.48866846300007
30,0.09465446028974321,0.9680444444444445,0.3698853713750839,0.908,0.9108,13.891169932999901,415.44359428300004
31,0.0885289827240838,0.9703333333333334,0.342288218164444,0.9124,0.9124,13.533885031000182,429.05030123000006
32,0.07792905847496456,0.9736666666666667,0.35319491248130797,0.9122,0.9124,14.054943573000173,443.2382220310001
33,0.06850588543415069,0.977,0.3662262782096863,0.9098,0.9124,13.717703223999933,457.02412308700013
34,0.06489955664343304,0.9776444444444444,0.38546922640800474,0.9096,0.9124,13.409362110000075,470.5054688360001
35,0.059842295123471154,0.9796,0.3887860203623772,0.9146,0.9146,13.464294772999892,484.0448822170001
36,0.05134647094441785,0.9826222222222222,0.42334263758659363,0.9098,0.9146,14.034986579999895,498.25007116200004
37,0.04731444496313731,0.9834222222222222,0.40497064380645753,0.9152,0.9152,13.654502015999924,511.97563483800013
38,0.044694356587198045,0.9848888888888889,0.4033143825650215,0.9198,0.9198,13.949592253000219,526.0689629000001
39,0.039266118248303734,0.9865777777777778,0.4038933807015419,0.9158,0.9198,13.409409865000043,539.62194621
40,0.037388314671234955,0.9869111111111111,0.41129339256286623,0.9164,0.9198,13.805689884000003,553.5059819340001
41,0.03382142001096573,0.9887555555555556,0.42111684455871584,0.9192,0.9198,13.521111363000045,567.1238770550001
42,0.03255008312049839,0.9894444444444445,0.41947705302238464,0.9174,0.9198,13.699008732000038,580.8935883440001
43,0.028107839702318112,0.9904444444444445,0.42798962116241457,0.9184,0.9198,13.73085320899986,594.695195579
44,0.027360880635844336,0.9911555555555556,0.4370311078310013,0.9194,0.9198,13.772140858000057,608.5469817600001
45,0.02500736134747664,0.9915333333333334,0.4367782798051834,0.9174,0.9198,13.830370754000114,622.4461964710001
46,0.024087753933254217,0.9923555555555555,0.4429263298511505,0.918,0.9198,13.739793390000159,636.2612901920002
47,0.022897411298586263,0.9921111111111112,0.4437275600194931,0.9188,0.9198,13.449822442999903,649.7819044130001
48,0.020279749347631715,0.993,0.4509802934646606,0.9198,0.9198,14.109964949000187,663.9608753830003
