epoch,train_loss,train_acc,val_loss,val_acc,best_val_acc,epoch_time_sec,elapsed_time_sec
1,1.78370318007999,0.3677111111111111,1.2664654640197754,0.5232,0.5232,13.880816975000016,13.880970324000373
2,1.1485547030131023,0.5933333333333334,0.9819333975791931,0.6498,0.6498,13.769513451999956,27.765534504000243
3,0.9038135027249654,0.6884444444444444,1.0532041156768799,0.653,0.653,13.839812297999742,41.73913787800029
4,0.7706327334721883,0.7388,0.7114057991981506,0.7646,0.7646,13.714536753000175,55.59896988900073
5,0.681337540769577,0.7723111111111111,0.6241100358486176,0.7874,0.7874,13.92252334800014,69.65987191500062
6,0.6094642099592421,0.7955555555555556,0.5390243848800659,0.8172,0.8172,14.051266960000248,83.85447803900024
7,0.553424872493744,0.8148222222222222,0.6304018781661987,0.7956,0.8172,13.725016001999393,97.71591786699992
8,0.5058872886869642,0.8321111111111111,0.5012090161323547,0.8308,0.8308,13.822089424000296,111.61633983499996
9,0.4732758134841919,0.8423111111111111,0.45738025541305544,0.8466,0.8466,14.188943352999559,125.94684785800018
10,0.43052757518556384,0.857,0.4372981402397156,0.8474,0.8474,13.461055480000141,139.54545279100057
11,0.40331576120058693,0.8662222222222222,0.5362268491268158,0.8254,0.8474,13.744795543000691,153.4217581440007
12,0.37360538709428576,0.8755555555555555,0.4993766484260559,0.8458,0.8474,13.947342588000538,167.4355829820006
13,0.35206623249053953,0.884,0.4013885476350784,0.8688,0.8688,13.766370209000343,181.27351880800052
14,0.3230007542080349,0.8922,0.3954175586223602,0.8762,0.8762,14.056562779999695,195.4772340920008
15,0.3073296684053209,0.8973333333333333,0.37068204107284547,0.8848,0.8848,13.562103619000482,209.1661501870003
16,0.28576944930818343,0.9046222222222222,0.33003073534965516,0.8936,0.8936,14.175609208000424,223.48752118600078
17,0.26603998857604133,0.9120222222222222,0.399286417388916,0.8744,0.8936,14.025670007999906,237.6612750030008
18,0.2475391872406006,0.9169333333333334,0.33696802480220794,0.8884,0.8936,13.543292100000144,251.27021369000067
19,0.22719050489531623,0.9232888888888889,0.3694746085524559,0.8824,0.8936,13.603493728000103,264.9512459160005
20,0.21599773586591084,0.9271333333333334,0.36102693967819216,0.8914,0.8936,13.774949630000265,278.79357798300043
21,0.19581941011216905,0.9351111111111111,0.35993621600866316,0.9,0.9,13.462183392000043,292.3255670090002
22,0.18648353107770285,0.9373111111111111,0.3449235863685608,0.8986,0.9,13.77746267099974,306.26652535800076
23,0.1726359628121058,0.9417555555555556,0.3623943160533905,0.893,0.9,13.695874766999623,320.0389079760007
24,0.15561316261291505,0.9473555555555555,0.34216164536476135,0.9,0.9,13.904344978999688,334.0303774720005
25,0.1479973268614875,0.9502222222222222,0.350936105632782,0.9038,0.9038,13.915857487999347,348.0266127160003
26,0.13606715276903578,0.9535111111111111,0.34324920101165773,0.9056,0.9056,13.720597923999776,361.87914575000013
27,0.12118231347931756,0.9594888888888888,0.32624211440086365,0.9062,0.9062,13.72230170199964,375.7305637160007
28,0.11300034663544761,0.9628666666666666,0.3577052117586136,0.9108,0.9108,13.853412501000093,389.7088097730002
29,0.10240650174220403,0.965,0.35328891787528993,0.9078,0.9108,14.144651754000733,403.99078139300036
30,0.09465446028974321,0.9680444444444445,0.3698853713750839,0.908,0.9108,13.971082817000024,418.0339021360005
31,0.0885289827240838,0.9703333333333334,0.342288218164444,0.9124,0.9124,13.790311867000128,431.9088109439999
32,0.07792905847496456,0.9736666666666667,0.35319491248130797,0.9122,0.9124,14.300798940999812,446.3541754630005
33,0.06850588543415069,0.977,0.3662262782096863,0.9098,0.9124,13.58507272099996,460.0070178750002
34,0.06489955664343304,0.9776444444444444,0.38546922640800474,0.9096,0.9124,13.259191967000334,473.33554696600004
35,0.059842295123471154,0.9796,0.3887860203623772,0.9146,0.9146,13.740570767999998,487.14026775100047
36,0.05134647094441785,0.9826222222222222,0.42334263758659363,0.9098,0.9146,13.852369096000075,501.1290505270008
37,0.04731444496313731,0.9834222222222222,0.40497064380645753,0.9152,0.9152,13.505932899999607,514.6998187170002
38,0.044694356587198045,0.9848888888888889,0.4033143825650215,0.9198,0.9198,13.557737922000342,528.4071408650007
39,0.039266118248303734,0.9865777777777778,0.4038933807015419,0.9158,0.9198,13.842674904999512,542.3863708560002
40,0.037388314671234955,0.9869111111111111,0.41129339256286623,0.9164,0.9198,13.662726554000074,556.1154917990007
41,0.03382142001096573,0.9887555555555556,0.42111684455871584,0.9192,0.9198,13.880396077000114,570.0755426190008
42,0.03255008312049839,0.9894444444444445,0.41947705302238464,0.9174,0.9198,13.959538996000447,584.1150295240004
43,0.028107839702318112,0.9904444444444445,0.42798962116241457,0.9184,0.9198,13.525452550999944,597.7306115440006
44,0.027360880635844336,0.9911555555555556,0.4370311078310013,0.9194,0.9198,14.282460508999975,612.0873116800003
45,0.02500736134747664,0.9915333333333334,0.4367782798051834,0.9174,0.9198,13.712598542000705,625.8842935930006
46,0.024087753933254217,0.9923555555555555,0.4429263298511505,0.918,0.9198,13.883921204000217,639.8365051999999
47,0.022897411298586263,0.9921111111111112,0.4437275600194931,0.9188,0.9198,13.480899038999269,653.3840322530004
48,0.020279749347631715,0.993,0.4509802934646606,0.9198,0.9198,13.859471570000096,667.3119240760007
