epoch,train_loss,train_acc,val_loss,val_acc,best_val_acc,epoch_time_sec,elapsed_time_sec
1,1.81046299533844,0.36848888888888887,1.2154367725372315,0.5526,0.5526,14.011153151999679,14.011255857999913
2,1.120007703590393,0.5935777777777778,0.9438829401969909,0.6618,0.6618,13.735008924999875,27.866754656000012
3,0.86419712378184,0.6972666666666667,0.8969282508850097,0.703,0.703,13.609555195000212,41.62183381800014
4,0.7360722623507182,0.7456222222222222,0.6853684426307678,0.7694,0.7694,13.677154603999952,55.44440538100025
5,0.6534945249451531,0.7726888888888889,0.6026568015575409,0.8016,0.8016,13.977091138000105,69.55808631299988
6,0.5802145460870531,0.7988666666666666,0.587056504535675,0.798,0.8016,13.867231132000143,83.55141283000012
7,0.5279838711738586,0.8176888888888889,0.5617090593338012,0.8136,0.8136,13.565578176000145,97.18184350799993
8,0.4871598122914632,0.8329333333333333,0.4880181107521057,0.8342,0.8342,14.029656497999895,111.33665432999987
9,0.44955322636498346,0.8447777777777777,0.4918229347705841,0.8362,0.8362,13.63128231499968,125.09442864199991
10,0.41459280735121834,0.857,0.46648314638137817,0.8406,0.8406,13.71789877099991,138.9383099920001
11,0.3861735365523232,0.8672222222222222,0.4025981559753418,0.8642,0.8642,14.037561191999885,153.1049858460001
12,0.35721886094411215,0.8762666666666666,0.4088886574268341,0.8646,0.8646,13.697653535999962,166.9396148840001
13,0.33449230927361384,0.8850444444444444,0.3864092677116394,0.8732,0.8732,13.295773549999922,180.3719858630002
14,0.3139064390712314,0.8909333333333334,0.38009221391677855,0.8766,0.8766,13.736820056999932,194.23379834100024
15,0.29641439639197453,0.8972666666666667,0.36084177780151366,0.881,0.881,13.93222151100008,208.30465660200025
16,0.2734156729698181,0.9032888888888889,0.3316338101387024,0.8898,0.8898,13.908105257999978,222.38500739100027
17,0.2567620896021525,0.9094444444444445,0.3669736840248108,0.886,0.8898,13.768346362000102,236.2858438950002
18,0.2411654394308726,0.9160666666666667,0.3399460090637207,0.8924,0.8924,13.441801004999888,249.79613865500005
19,0.22081698262956406,0.9232888888888889,0.3100813209056854,0.8986,0.8986,13.571093716000178,263.50036286500017
20,0.21040451349947187,0.9263555555555556,0.34153287534713744,0.894,0.8986,13.887460226000258,277.51665125299996
21,0.19375293811162314,0.9316666666666666,0.32514223866462705,0.8958,0.8986,13.89271569199991,291.47916938200024
22,0.18144067544407314,0.9362666666666667,0.3313329852104187,0.8938,0.8986,13.557834997999635,305.10668012999986
23,0.16899508211745157,0.9399333333333333,0.31164415509700777,0.9036,0.9036,13.963080915999853,319.1357287740002
24,0.15540751854313745,0.9458222222222222,0.34730869827270505,0.8924,0.9036,13.494595241999832,332.764076853
25,0.14470645585060118,0.949,0.3008565740585327,0.9122,0.9122,13.923786581000059,346.75613291499985
26,0.1320265015191502,0.9530222222222222,0.3325150770187378,0.9044,0.9122,13.833588474999942,360.7394620780001
27,0.1200427158329222,0.9575333333333333,0.32244769258499145,0.9048,0.9122,13.726193605999924,374.5445882680001
28,0.1068619381626447,0.9623333333333334,0.31837781366109846,0.9162,0.9162,14.002227051999853,388.6149458320001
29,0.09945828262699975,0.9644444444444444,0.33915879921913145,0.9088,0.9162,13.73959951200004,402.4837184910002
30,0.09196987217002445,0.9678444444444444,0.3346764417648315,0.9162,0.9162,13.616105859000072,416.1740060490001
31,0.0844644908282492,0.9699555555555556,0.32036552305221555,0.9132,0.9162,13.699100904999796,429.9472950630002
32,0.07809046522345808,0.9726888888888889,0.33143399438858034,0.9156,0.9162,13.770056358000147,443.79040882300023
33,0.07021076238618956,0.9750666666666666,0.334097275352478,0.9122,0.9162,13.575979996000115,457.436181478
34,0.06176855434808466,0.9778444444444444,0.3483029247283936,0.9162,0.9162,13.730528260000028,471.23133696700006
35,0.05899779506259494,0.9794444444444445,0.3410560561656952,0.9166,0.9166,13.60402279300024,484.90200589999995
36,0.05077292082839542,0.9824666666666667,0.3527235155105591,0.923,0.923,14.174422294000124,499.2100122689999
37,0.0447077886654271,0.9835333333333334,0.36501606359481814,0.9212,0.923,13.904869656999836,513.252493258
38,0.042904548982779185,0.9855777777777778,0.36131928291320803,0.9184,0.923,14.004049282000324,527.33359858
39,0.039219238929533294,0.9860666666666666,0.3748941941261292,0.9168,0.923,13.569733605999772,540.9703113559999
40,0.03387777019606696,0.9881111111111112,0.37655170164108276,0.9202,0.923,13.91156797900021,554.9428928130001
41,0.030870915090375477,0.9889555555555556,0.3926758266448975,0.9218,0.923,13.40258916699986,568.4277281620002
42,0.029736436778969234,0.9898222222222223,0.38335567808151244,0.9246,0.9246,13.20333370399976,581.700876679
43,0.024179827961325645,0.9915111111111111,0.39006451778411866,0.9232,0.9246,13.619836530000157,595.4639154800002
44,0.023275155805051326,0.9918888888888889,0.3989798647880554,0.9226,0.9246,14.133534261000023,609.670327071
45,0.021345370189928346,0.9927333333333334,0.3940193381309509,0.9234,0.9246,13.400264181000239,623.161176914
46,0.022707457760307526,0.9918,0.40042217502593996,0.9242,0.9246,13.74411907900003,636.9809061999999
47,0.0202348866785566,0.9930444444444444,0.40034344987869264,0.9246,0.9246,13.537828448000255,650.5914658930001
48,0.019654608559949945,0.9929777777777777,0.4007050841331482,0.9244,0.9246,13.640081543000633,664.298347765
49,0.020856557138595317,0.9926444444444444,0.392918043422699,0.9252,0.9252,13.313825289000306,677.6847441739997
50,0.019358893707063462,0.9934888888888889,0.3955132243156433,0.9244,0.9252,13.363423912000144,691.1745777130004
